topic,student_id,writing_id,group,is_cii,cor_sent,cor_if_head,cor_if_head_lemma,cor_main_head,cor_main_aux
59,157336,22549,lower,True,"By the way, if I won ten millions in the lottery, I would travel around the world for one year, but I know that's really difficult to come true.",won,win,travel,would
59,121182,236248,lower,True,"I'm satisfied with my life, but if I had the opportunity to win a lot of money I'd like to spend this sum in different ways.",had,have,'m,
59,125941,237145,lower,True,"I don't have much money, but if I did, I'd buy a big house where I could liveina betterway.",did,do,have,do
59,125075,237319,lower,True,"If I had a last year to live, I'd like to more things: I'd like to travel around the world.",had,have,like,'d
59,125075,237319,lower,True,"If I had a last year to live, I'd like to help many homeless children.",had,have,like,'d
59,125075,237319,lower,True,"If I had a last year to live, I'd like to smile, smile, smile everyday.",had,have,like,'d
59,152577,240459,lower,True,"If I had the opportunity to ask a dream, whatever this mean, I'd ask just the way to achieve my objectives related to my career.",had,have,ask,'d
59,5348,241654,lower,True,"Finally, if I won the lottery, I would help children in Africa.",won,win,help,would
59,161919,244437,lower,True,"If I won the lottery, I'd like to go around UK for sometime, then, find a nice place to live in, and stop there.",won,win,like,'d
59,161919,244437,lower,True,"If I won one million dollars or pounds, I'd never work in my life.",won,win,work,'d
59,111988,245941,lower,True,"If I had one day of life, I would try to realise all my dreams.",had,have,try,would
59,105249,246539,lower,True,"If I had only one year to live, then I would like to go globetrotting to share time with people of different cultures living in their country.",had,have,like,would
59,155112,2480,lower,True,"If I had enough time in my life, I'd start a new business that is still related with my job, then I'd tell my wife to spend more time with our children and don't worry about the money, I'd travel to many countries with my family.",had,have,start,'d
59,36898,254268,lower,True,"If I had enough money I would like to travel around the world and go by all the countries of the world, to learn their customs, their stories, their museums, enjoy their landscapes, their food and their people.",had,have,like,would
59,137686,255314,lower,True,If I won the lottery I would buy an island.,won,win,buy,would
59,137686,255314,lower,True,If I had a chance I would be a pop star.,had,have,had,
59,137686,255314,lower,True,If I had courage I would fly with wings like birds.,had,have,fly,would
59,137686,255314,lower,True,"If I knew how to swim I would like to go swimming in an ocean, but I can't do everything that I dream.",knew,know,like,would
59,71836,25625,lower,True,These are all material things but I would be happy if I just had my health.,had,have,are,
59,162202,257417,lower,True,"If I had much money, I would travel around the world.",had,have,travel,would
59,58050,273081,lower,True,"If I had one day to live, I'd fly to Paris and visit the Eiffel Tower.",had,have,fly,'d
59,58050,273081,lower,True,"If I won the lottery, I would travel around the world.",won,win,travel,would
59,3298,276486,lower,True,"If I won a million Euros, I'd make a trip around the world , I'd buy an AUDI Q5, I'd spend some money for charitable organisations, I'd travel to the Caribbean to swim in the sea, I'd give some money to my children and grand children, I'd buy a mobile home to see interesting points in Europe, I'd like to travel to London to improve my English.",won,win,make,'d
59,64736,281850,lower,True,"If I had time and enough money, I'd travel around the world.",had,have,travel,'d
59,64736,281850,lower,True,"If I had time, I'd go to the grasslands to ride a horse.",had,have,go,'d
59,82160,281992,lower,True,"If I won the lottery, I would help the homeless children in the world; let them accept education and not to worry about foods and clothes forever.",won,win,help,would
59,119606,282140,lower,True,"If I had enough money, I would travel around the world.",had,have,travel,would
59,94091,282955,lower,True,"If I had a lot of money, I would like to travel all over the world and get along with many people.",had,have,like,would
59,90335,285536,lower,True,"If I earned enough money, I'd buy a new house with decoration which I like.",earned,earn,buy,'d
